,datetime,temperature,timestamp,korea_electricity
0,2018-01-01 00:00,2.200178655548932,1514764800.0,55905.2946337803
1,2018-01-01 01:00,1.8929487680618193,1514768400.0,54321.11859648818
2,2018-01-01 02:00,1.540763719023499,1514772000.0,53132.20640198095
3,2018-01-01 03:00,0.9652333474116482,1514775600.0,52471.45425848214
4,2018-01-01 04:00,0.2708089947941885,1514779200.0,52227.79145571205
5,2018-01-01 05:00,-0.21910319026494907,1514782800.0,52241.896148242195
6,2018-01-01 06:00,-0.38515876340607536,1514786400.0,52275.4011167486
7,2018-01-01 07:00,-0.3200074851015634,1514790000.0,52111.6160957283
8,2018-01-01 08:00,0.03266695742396622,1514793600.0,51820.17345452008
9,2018-01-01 09:00,0.9922014734212214,1514797200.0,51652.576084623084
10,2018-01-01 10:00,2.4667739633513217,1514800800.0,51593.733903969725
11,2018-01-01 11:00,3.8947435068446477,1514804400.0,51424.17113431817
12,2018-01-01 12:00,5.034819629360257,1514808000.0,51215.786466218466
13,2018-01-01 13:00,5.838017987415392,1514811600.0,51196.993049932236
14,2018-01-01 14:00,6.133499204183762,1514815200.0,51432.85578219092
15,2018-01-01 15:00,6.020120462199223,1514818800.0,51959.09114749788
16,2018-01-01 16:00,5.654442098871346,1514822400.0,52985.77675960463
17,2018-01-01 17:00,5.014473591101907,1514826000.0,54493.33374955466
18,2018-01-01 18:00,4.254545465670212,1514829600.0,55819.34889197834
19,2018-01-01 19:00,3.5009928250848996,1514833200.0,56468.26112029077
20,2018-01-01 20:00,2.713767643338672,1514836800.0,56680.021933921445
21,2018-01-01 21:00,2.0159831643260824,1514840400.0,56907.020929126775
22,2018-01-01 22:00,1.4458119657829616,1514844000.0,57225.41343408145
23,2018-01-01 23:00,0.9048316977406017,1514847600.0,57077.597275369735
24,2018-01-02 00:00,0.4407585462424687,1514851200.0,56217.387058385764
25,2018-01-02 01:00,-0.0012116173421659049,1514854800.0,55363.96913114036
26,2018-01-02 02:00,-0.4448811993285759,1514858400.0,55083.384910088105
27,2018-01-02 03:00,-0.8813711349420743,1514862000.0,55409.96880596645
28,2018-01-02 04:00,-1.4670575683666216,1514865600.0,56449.16782979332
29,2018-01-02 05:00,-2.041603921501069,1514869200.0,58422.88690124316
30,2018-01-02 06:00,-2.2887881802681305,1514872800.0,61426.40350297627
31,2018-01-02 07:00,-2.169595896074841,1514876400.0,65347.23576241863
32,2018-01-02 08:00,-1.657107909055206,1514880000.0,69418.71893503597
33,2018-01-02 09:00,-0.7338085282367258,1514883600.0,72299.5103106946
34,2018-01-02 10:00,0.5277867907473958,1514887200.0,73342.54542233207
35,2018-01-02 11:00,2.108876598961482,1514890800.0,72831.08082627432
36,2018-01-02 12:00,3.807611996086222,1514894400.0,71897.0791466291
37,2018-01-02 13:00,5.201438276017352,1514898000.0,71722.64506169893
38,2018-01-02 14:00,6.106370754848093,1514901600.0,72061.70876720778
39,2018-01-02 15:00,6.6345229858407775,1514905200.0,72348.10348660145
40,2018-01-02 16:00,6.825381379213394,1514908800.0,72483.64184864351
41,2018-01-02 17:00,6.631058807116625,1514912400.0,72079.41405711006
42,2018-01-02 18:00,6.129648609955392,1514916000.0,70839.8928393555
43,2018-01-02 19:00,5.319172840631609,1514919600.0,69047.00889276099
44,2018-01-02 20:00,4.290133393724911,1514923200.0,67215.5088214547
45,2018-01-02 21:00,3.3524502554596207,1514926800.0,65804.09749894397
46,2018-01-02 22:00,2.5584641767654857,1514930400.0,65036.30258834442
47,2018-01-02 23:00,1.8464801414411662,1514934000.0,64284.76818444844
48,2018-01-03 00:00,1.269819464461903,1514937600.0,62874.910328104386
49,2018-01-03 01:00,0.8962830365973431,1514941200.0,61463.79694985621
50,2018-01-03 02:00,0.6928585880217766,1514944800.0,60886.42963818037
51,2018-01-03 03:00,0.4443524910792498,1514948400.0,61142.48787134196
52,2018-01-03 04:00,0.04766485652296136,1514952000.0,62028.03315415738
53,2018-01-03 05:00,-0.4224282194951014,1514955600.0,63662.2233151515
54,2018-01-03 06:00,-0.9239791886965812,1514959200.0,66317.75923690545
55,2018-01-03 07:00,-1.3890332838279822,1514962800.0,69807.12460234869
56,2018-01-03 08:00,-1.523119699879805,1514966400.0,73209.00298011822
57,2018-01-03 09:00,-1.023397345869592,1514970000.0,75373.19749971802
58,2018-01-03 10:00,-0.10064613397158545,1514973600.0,75837.73026151088
59,2018-01-03 11:00,0.8913289699990682,1514977200.0,74824.36641290608
60,2018-01-03 12:00,1.8010118975830276,1514980800.0,73532.70798978099
61,2018-01-03 13:00,2.466658550142391,1514984400.0,73314.68401076071
62,2018-01-03 14:00,2.8050197306433238,1514988000.0,73775.98403853715
63,2018-01-03 15:00,2.799770793223379,1514991600.0,74223.56113097991
64,2018-01-03 16:00,2.3734193996149773,1514995200.0,74594.96139500287
65,2018-01-03 17:00,1.5240700807733676,1514998800.0,74424.17609041599
66,2018-01-03 18:00,0.5331561308768581,1515002400.0,73337.12664698946
67,2018-01-03 19:00,-0.30605768013885415,1515006000.0,71595.85933914897
68,2018-01-03 20:00,-0.9083124470578474,1515009600.0,69713.68098302983
69,2018-01-03 21:00,-1.2417056324160791,1515013200.0,68175.16196382452
70,2018-01-03 22:00,-1.353074625970803,1515016800.0,67269.500688261
71,2018-01-03 23:00,-1.3635608573480835,1515020400.0,66436.59355504479
72,2018-01-04 00:00,-1.4281326719247767,1515024000.0,65020.70114145985
73,2018-01-04 01:00,-1.60229362477798,1515027600.0,63606.102515690516
74,2018-01-04 02:00,-1.709541461490596,1515031200.0,62913.217736216386
