거래일,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2017-01-16,58174.59153,56755.00922,56874.16877,57094.89041,57654.59647,59337.83041,62213.23619,65780.78322,72443.47246,75745.72325,75909.6868,74771.27306,69408.52351,71406.78661,72059.14811,71649.77355,72664.63087,73179.96412,72966.7065,70753.74618,68472.63266,66427.81809,66012.02129,67683.4285
2017-01-17,63924.96803,62161.21402,61960.8184,61904.85033,62265.24848,63675.99778,65901.72828,68400.13409,73788.86427,76680.69774,76593.50224,75143.60968,69570.16233,71835.76203,72505.59131,72083.41166,72841.71721,72926.10502,72472.90755,70356.7357,68257.40358,66212.42739,65784.97775,67110.57633
2017-01-18,63326.31001,62067.83437,61679.15697,61334.5648,61868.29587,62995.14879,64217.72198,66505.18961,72357.35204,75139.3908,74803.35195,73851.55155,68651.54783,71335.71843,72143.16944,71821.48416,72395.19006,71731.77132,70598.98031,68748.25588,66879.15967,65340.35765,65042.80927,66968.45245
2017-01-19,63193.46151,61409.26506,61433.97531,61021.27007,61299.68271,62614.51028,65293.89299,67992.197,72674.10897,75258.14995,74866.14019,73312.80795,67832.38984,69789.79672,70102.15546,69810.04189,70787.1932,71328.35691,71361.30622,69444.32977,67097.52158,65373.25277,64984.68493,66496.55777
2017-01-20,62890.95008,61467.57947,60963.19097,60687.796,61286.94067,62620.84746,65077.37052,67412.16254,71619.45078,75464.08136,76765.04962,76357.40379,71836.70291,74079.57331,74270.13949,73509.27035,74009.96046,73505.88425,72191.5401,69949.71432,68135.76893,66410.72801,66299.33379,67951.10513
2017-01-21,64532.84932,61914.58953,61072.1975,61429.39844,61788.90912,62297.7798,63341.50153,63652.33714,65138.9676,66050.04622,66965.74878,66449.57602,63090.76122,63736.6319,63696.08931,63137.5147,62710.10248,62493.17004,63133.27804,62470.77963,61593.288,60818.98365,61801.48246,63587.12637
2017-01-22,60738.14223,58186.84532,56724.97217,56008.96057,55928.32732,56265.29039,56504.96714,56410.23824,57293.67051,57417.494,57886.20639,57928.82288,57808.65321,58069.62044,57819.46411,57586.30324,58070.86982,59255.00597,61218.26487,61015.70153,60484.85594,60032.48138,61167.71631,62225.40268
2017-01-23,59349.52647,58197.15189,58427.39203,58517.25375,59377.86378,61261.2589,63863.41593,66329.0467,73699.35325,77597.97661,78736.655,78067.3319,73158.06016,75326.97132,75759.95783,75300.62021,76125.39643,76264.31527,75529.63916,73041.69814,70411.78464,68127.21175,67736.90711,69405.66039
2017-01-24,66139.84211,64776.2981,64743.01694,64328.03703,64704.69593,66037.77107,67880.54282,70376.78652,75248.17405,78047.40495,77879.97017,76674.07959,71367.79605,73704.46093,74191.09601,73619.94576,74415.33379,74783.83648,74458.13285,72199.76999,69884.69282,67862.07826,67534.21868,69129.26934
2017-01-25,65609.30273,63019.75431,61991.32046,61996.42928,62651.23614,63860.68301,66380.97883,69087.25774,74901.84913,76975.22868,76751.30692,75374.55504,69949.03575,71893.82174,72094.95793,71506.23391,72217.57401,72139.49709,72033.13503,69987.21497,67941.05195,66397.33137,66716.51472,68489.59669
